"movie_id","actor"
26,"亚历克·斯卡拉托斯"
26,"朱迪·格雷尔"
26,"珍娜·费舍"
26,"贾里尔·怀特"
26,"托马斯·列农"
26,"托尼·海尔"
26,"P·J·伯恩"
26,"布莱斯·吉扎尔"
26,"斯蒂芬·考特尔"
26,"罗伯特·普拉尔戈"
26,"加里·维克斯"
27,"托马斯·简"
27,"莫莉·帕克"
27,"迪兰·施密德"
27,"凯特琳·伯纳德"
27,"尼尔·麦克唐纳"
27,"坦娅·钱普"
27,"布莱恩·达西·詹姆斯"
27,"鲍勃·弗雷泽"
27,"埃里克·李塞德"
27,"皮特·纽"
27,"布鲁斯·布莱恩"
27,"格雷姆·达菲"
28,"芦芳生"
28,"杨采钰"
29,"科里·迈克尔·史密斯"
29,"维吉妮娅·马德森"
29,"迈克尔·切克利斯"
29,"艾丹·朗福德"
29,"杰米·钟"
29,"比尔·赫克"
29,"瑞恩·皮尔斯·威廉姆斯"
29,"蒂娜·帕克"
29,"亚历克斯·妮科尔·麦康诺"
29,"戴维·奥佩贝米"
29,"布赖恩·马西"
30,"崔娜·蒂虹"
30,"安娜玛丽亚·玛琳卡"
30,"卡瑞娜·费尔南德斯"
30,"桑德尔·丰泰克"
30,"约翰·戈登·辛克莱尔"
30,"托马斯·特拉巴齐"
31,"张艾嘉"
31,"刘若英"
31,"李心洁"
31,"梁家辉"
31,"黄秋生"
31,"任贤齐"
31,"杨淇"
31,"张洪量"
31,"陈柏霖"
31,"陈升"
31,"齐豫"
32,"凯尔·杜拉"
32,"加里·洛克伍德"
32,"威廉姆·西尔维斯特"
32,"丹尼尔·里希特"
33,"罗伊·沙伊德尔"
33,"约翰·利思戈"
33,"海伦·米伦"
33,"鲍勃·巴拉班"
33,"凯尔·杜拉"
33,"Douglas Rain"
33,"玛多林·史密斯·奥斯巴内"
33,"达纳·艾卡"
33,"塔利辛·贾夫"
33,"James McEachin"
33,"Mary Jo Deschanel"
33,"埃利亚·巴斯金"
33,"萨韦利·克拉玛罗夫"
33,"Oleg Rudnik"
33,"娜塔莎·施奈德"
34,"约翰·库萨克"
34,"阿曼达·皮特"
34,"切瓦特·埃加福"
34,"坦迪·牛顿"
35,"帕特里克·莱比奥托"
35,"朱丽·麦库拉芙"
