"movie_id","genre"
145,"喜剧"
145,"动作"
145,"恐怖"
146,"喜剧"
146,"爱情"
146,"奇幻"
147,"动作"
147,"犯罪"
148,"剧情"
148,"爱情"
148,"家庭"
149,"动作"
149,"动画"
149,"奇幻"
150,"爱情"
150,"恐怖"
151,"动作"
151,"惊悚"
152,"剧情"
152,"传记"
152,"战争"
153,"剧情"
153,"喜剧"
154,"剧情"
155,"剧情"
155,"爱情"
155,"历史"
155,"战争"
155,"西部"
156,"喜剧"
156,"动作"
156,"犯罪"
157,"剧情"
157,"家庭"
158,"喜剧"
158,"动作"
158,"犯罪"
159,"剧情"
159,"悬疑"
159,"犯罪"
160,"剧情"
160,"爱情"
160,"音乐"
161,"剧情"
161,"犯罪"
162,"剧情"
162,"爱情"
163,"剧情"
163,"爱情"
163,"歌舞"
164,"喜剧"
164,"爱情"
165,"剧情"
165,"喜剧"
166,"剧情"
166,"爱情"
167,"剧情"
167,"爱情"
167,"科幻"
167,"惊悚"
168,"剧情"
168,"历史"
168,"战争"
168,"灾难"
169,"剧情"
169,"历史"
169,"战争"
170,"剧情"
170,"爱情"
170,"历史"
170,"战争"
171,"剧情"
171,"动作"
171,"爱情"
171,"传记"
172,"剧情"
172,"传记"
173,"剧情"
173,"历史"
173,"运动"
174,"剧情"
174,"喜剧"
174,"爱情"
174,"家庭"
175,"剧情"
175,"历史"
175,"战争"
176,"剧情"
176,"喜剧"
177,"动作"
177,"爱情"
177,"武侠"
177,"古装"
178,"剧情"
178,"灾难"
179,"剧情"
180,"剧情"
180,"爱情"
180,"家庭"
181,"喜剧"
181,"爱情"
182,"剧情"
182,"喜剧"
182,"爱情"
183,"剧情"
183,"爱情"
184,"剧情"
184,"爱情"
184,"传记"
185,"动作"
185,"爱情"
185,"犯罪"
186,"剧情"
186,"爱情"
186,"家庭"
187,"喜剧"
187,"爱情"
188,"喜剧"
188,"爱情"
189,"剧情"
189,"爱情"
190,"喜剧"
190,"音乐"
191,"剧情"
191,"爱情"
192,"喜剧"
192,"爱情"
193,"剧情"
193,"爱情"
194,"惊悚"
194,"犯罪"
195,"惊悚"
195,"犯罪"
196,"剧情"
196,"爱情"
196,"音乐"
197,"剧情"
197,"惊悚"
198,"剧情"
198,"奇幻"
199,"喜剧"
199,"爱情"
200,"剧情"
200,"传记"
201,"喜剧"
202,"剧情"
202,"家庭"
203,"剧情"
203,"动画"
204,"喜剧"
204,"动作"
204,"动画"
205,"剧情"
205,"爱情"
206,"剧情"
206,"音乐"
207,"剧情"
207,"音乐"
207,"传记"
208,"剧情"
208,"喜剧"
208,"动作"
209,"喜剧"
209,"犯罪"
210,"剧情"
210,"喜剧"
210,"家庭"
211,"剧情"
211,"喜剧"
211,"家庭"
212,"剧情"
212,"冒险"
213,"剧情"
213,"犯罪"
214,"剧情"
214,"爱情"
214,"情色"
215,"剧情"
215,"家庭"
216,"剧情"
216,"爱情"
217,"剧情"
217,"喜剧"
217,"动作"
218,"剧情"
218,"运动"
219,"剧情"
219,"运动"
220,"爱情"
221,"惊悚"
221,"恐怖"
222,"喜剧"
222,"动作"
222,"恐怖"
222,"奇幻"
223,"喜剧"
223,"动作"
223,"冒险"
224,"剧情"
224,"悬疑"
224,"犯罪"
225,"动作"
225,"惊悚"
225,"犯罪"
226,"剧情"
226,"惊悚"
226,"犯罪"
227,"剧情"
227,"惊悚"
228,"剧情"
228,"悬疑"
228,"惊悚"
228,"犯罪"
229,"剧情"
229,"爱情"
230,"动作"
230,"惊悚"
230,"犯罪"
231,"剧情"
231,"历史"
231,"战争"
232,"爱情"
233,"剧情"
